Brand,Name,Price,Power,Milage,First listing,Info,Dealer,Link
11,BMW 118i,23.440 €,ca. 103 kW (140PS),80.500 km,EZ 02/2020,"Benzin, ca. 5,0 l/100 km (komb.)*, ca. 114 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972345662?num_on_page=1&page=1&premium=false&title=Gebrauchtwagen+in+Zwickau+%7C+12Gebrauchtwagen.d-2345662?num_on_page=1&page=1&premium=false&title=Gebrauchtwagen+in+Zwickau+%7C+12Gebrauchtwagen.de
11,BMW X4 M40i,54.949 €,ca. 265 kW (360PS),53.900 km,EZ 10/2020,"Benzin, ca. 7,9 l/100 km (komb.)*, ca. 180 g CO₂/km (komb.)*, C",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972355581?num_on_page=3&page=1&premium=false&title=BMW+X4+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2355581?num_on_page=3&page=1&premium=false&title=BMW+X4+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW X1 xDrive23i,49.450 €,ca. 150 kW (204PS),12.800 km,EZ 10/2022,"Benzin, ca. -1,0 l/100 km (komb.)*, ca. 0 g CO₂/km (komb.)*, A+++",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972355544?num_on_page=3&page=1&premium=false&title=Gebrauchtwagen+in+Ibbenb%C3%BCren+%7C+12Gebrauchtwagen.d-2355544?num_on_page=3&page=1&premium=false&title=Gebrauchtwagen+in+Ibbenb%C3%BCren+%7C+12Gebrauchtwagen.de
11,BMW 118i,29.890 €,ca. 103 kW (140PS),18.505 km,EZ 03/2020,"Benzin, ca. 5,0 l/100 km (komb.)*, ca. 113 g CO₂/km (komb.)*, A",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972355500?num_on_page=2&page=1&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.d-2355500?num_on_page=2&page=1&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.de
11,BMW M8 Competition Gran Coupé xDrive,119.800 €,ca. 460 kW (625PS),12.607 km,EZ 08/2021,"Benzin, ca. 11,3 l/100 km (komb.)*, ca. 260 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972331988?num_on_page=2&page=1&premium=false&title=BMW+M8+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2331988?num_on_page=2&page=1&premium=false&title=BMW+M8+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 225xe iPerformance Active Tourer,23.529 €,ca. 100 kW (136PS),13.608 km,EZ 03/2019,"Hybrid, ca. 0 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972334760?num_on_page=1&page=1&premium=false&title=Alle+gebrauchten+BMW+2er+Gran+Tourer+auf+einen+Blick+%7C+12Gebrauchtwagen.d-2334760?num_on_page=1&page=1&premium=false&title=Alle+gebrauchten+BMW+2er+Gran+Tourer+auf+einen+Blick+%7C+12Gebrauchtwagen.de
11,BMW 240 M240i xDrive Coupé,59.769 €,ca. 275 kW (374PS),12.733 km,EZ 05/2022,"Benzin, ca. 0 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972354215?num_on_page=2&page=1&premium=false&title=BMW+240+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2354215?num_on_page=2&page=1&premium=false&title=BMW+240+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 320d Touring,27.888 €,ca. 140 kW (190PS),127.692 km,EZ 04/2020,"Diesel, ca. 4,2 l/100 km (komb.)*, ca. 109 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972353478?num_on_page=4&page=1&premium=false&title=BMW+320+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2353478?num_on_page=4&page=1&premium=false&title=BMW+320+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW X5 xDrive45e iPerformance,67.970 €,ca. 210 kW (286PS),51.604 km,EZ 02/2020,"Hybrid, ca. 0 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972341518?num_on_page=4&page=1&premium=false&title=BMW+X5+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2341518?num_on_page=4&page=1&premium=false&title=BMW+X5+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 520d Limousine,31.990 €,ca. 140 kW (190PS),50.546 km,EZ 12/2019,"Diesel, ca. 4,1 l/100 km (komb.)*, ca. 108 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972334190?num_on_page=4&page=1&premium=false&title=BMW+520+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2334190?num_on_page=4&page=1&premium=false&title=BMW+520+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
